"Country","variable","value"
"Honduras","Undernourished1990_1992","22"
"India","Undernourished1990_1992","25.5"
"Indonesia","Undernourished1990_1992","22.2"
"Iran, Islamic Rep.","Undernourished1990_1992","3.4"
"Iraq","Undernourished1990_1992","10"
"Jamaica","Undernourished1990_1992","10.1"
"Jordan","Undernourished1990_1992","6.1"
"Kazakhstan","Undernourished1990_1992",NA
"Kenya","Undernourished1990_1992","34.8"
"Kuwait","Undernourished1990_1992","39.3"
"Kyrgyz Republic","Undernourished1990_1992",NA
"Lao PDR","Undernourished1990_1992","44.7"
"Latvia","Undernourished1990_1992",NA
"Lebanon","Undernourished1990_1992","3.4"
"Lesotho","Undernourished1990_1992","17"
"Liberia","Undernourished1990_1992","29.6"
"Libya","Undernourished1990_1992","1"
"Lithuania","Undernourished1990_1992",NA
"Macedonia, FYR","Undernourished1990_1992",NA
"Madagascar","Undernourished1990_1992","24.4"
"Malawi","Undernourished1990_1992","45.2"
"Malaysia","Undernourished1990_1992","4.5"
"Mali","Undernourished1990_1992","24.9"
"Mauritania","Undernourished1990_1992","12.9"
"Mauritius","Undernourished1990_1992","8.6"
"Mexico","Undernourished1990_1992","3.2"
"Moldova","Undernourished1990_1992",NA
"Mongolia","Undernourished1990_1992","38.4"
"Montenegro","Undernourished1990_1992",NA
"Morocco","Undernourished1990_1992","6.7"
"Mozambique","Undernourished1990_1992","57.8"
"Myanmar","Undernourished1990_1992",NA
"Namibia","Undernourished1990_1992","36.2"
"Nepal","Undernourished1990_1992","25.4"
"Nicaragua","Undernourished1990_1992","55.1"
"Niger","Undernourished1990_1992","35.5"
"Nigeria","Undernourished1990_1992","21.3"
"North Korea","Undernourished1990_1992","23.7"
"Oman","Undernourished1990_1992",NA
"Pakistan","Undernourished1990_1992","27.2"
"Panama","Undernourished1990_1992","23.3"
"Papua New Guinea","Undernourished1990_1992",NA
"Paraguay","Undernourished1990_1992","20.2"
"Peru","Undernourished1990_1992","31.6"
"Philippines","Undernourished1990_1992","24.5"
"Qatar","Undernourished1990_1992",NA
"Romania","Undernourished1990_1992","2.2"
"Russian Federation","Undernourished1990_1992",NA
"Rwanda","Undernourished1990_1992","52.3"
"Saudi Arabia","Undernourished1990_1992","2.9"
"Senegal","Undernourished1990_1992","22"
"Serbia","Undernourished1990_1992",NA
"Sierra Leone","Undernourished1990_1992","42.5"
"Slovak Republic","Undernourished1990_1992",NA
"Somalia","Undernourished1990_1992",NA
"South Africa","Undernourished1990_1992","5.3"
"Sri Lanka","Undernourished1990_1992","33.4"
"Sudan (former)","Undernourished1990_1992","41.9"
"Suriname","Undernourished1990_1992","17.5"
"Swaziland","Undernourished1990_1992","15.8"
"Syrian Arab Republic","Undernourished1990_1992","4.8"
"Tajikistan","Undernourished1990_1992",NA
"Tanzania","Undernourished1990_1992","28.8"
"Thailand","Undernourished1990_1992","43.3"
"Timor-Leste","Undernourished1990_1992",NA
"Togo","Undernourished1990_1992","34.8"
"Trinidad & Tobago","Undernourished1990_1992","12.4"
"Tunisia","Undernourished1990_1992","1"
"Turkey","Undernourished1990_1992","0.5"
"Turkmenistan","Undernourished1990_1992",NA
"Uganda","Undernourished1990_1992","27.1"
"Ukraine","Undernourished1990_1992",NA
"Uruguay","Undernourished1990_1992","7.6"
"Uzbekistan","Undernourished1990_1992",NA
"Venezuela, RB","Undernourished1990_1992","12.8"
"Vietnam","Undernourished1990_1992","48.3"
"Yemen, Rep.","Undernourished1990_1992","29.2"
"Zambia","Undernourished1990_1992","33.8"
"Zimbabwe","Undernourished1990_1992","43.6"
"Afghanistan","Undernourished1994_1996",NA
"Albania","Undernourished1994_1996","2.4"
"Algeria","Undernourished1994_1996","6.3"
"Angola","Undernourished1994_1996","58.6"
"Argentina","Undernourished1994_1996","1.2"
"Armenia","Undernourished1994_1996","22.6"
"Azerbaijan","Undernourished1994_1996","26.6"
"Bahrain","Undernourished1994_1996",NA
"Bangladesh","Undernourished1994_1996","36.7"
"Belarus","Undernourished1994_1996","1.1"
"Benin","Undernourished1994_1996","19.6"
"Bhutan","Undernourished1994_1996",NA
"Bolivia","Undernourished1994_1996","31"
"Bosnia & Herzegovina","Undernourished1994_1996","6.4"
"Botswana","Undernourished1994_1996","28.2"
"Brazil","Undernourished1994_1996","13.9"
"Bulgaria","Undernourished1994_1996","7.8"
"Burkina Faso","Undernourished1994_1996","18.3"
"Burundi","Undernourished1994_1996","57.9"
"Cambodia","Undernourished1994_1996","37.6"
"Cameroon","Undernourished1994_1996","39.4"
"Central African Republic","Undernourished1994_1996","51.8"
"Chad","Undernourished1994_1996","51.8"
"Chile","Undernourished1994_1996","5.8"
"China","Undernourished1994_1996","16.6"
"Colombia","Undernourished1994_1996","15.2"
"Comoros","Undernourished1994_1996","48.2"
"Congo, Dem. Rep.","Undernourished1994_1996",NA
"Congo, Rep.","Undernourished1994_1996","45.4"
"Costa Rica","Undernourished1994_1996","5"
"Croatia","Undernourished1994_1996","14.6"
"Cuba","Undernourished1994_1996","20"
"Côte d'Ivoire","Undernourished1994_1996","14.2"
"Djibouti","Undernourished1994_1996","60.8"
"Dominican Republic","Undernourished1994_1996","24.9"
"Ecuador","Undernourished1994_1996","19.4"
"Egypt, Arab Rep.","Undernourished1994_1996","1.6"
"El Salvador","Undernourished1994_1996","14.8"
"Eritrea","Undernourished1994_1996","72.4"
"Estonia","Undernourished1994_1996","6.4"
"Ethiopia","Undernourished1994_1996","67.5"
"Fiji","Undernourished1994_1996","6.4"
"Gabon","Undernourished1994_1996","8.6"
"Gambia, The","Undernourished1994_1996","23.8"
"Georgia","Undernourished1994_1996",NA
"Ghana","Undernourished1994_1996","23.5"
"Guatemala","Undernourished1994_1996","19.9"
"Guinea","Undernourished1994_1996","20.7"
"Guinea-Bissau","Undernourished1994_1996","20.7"
"Guyana","Undernourished1994_1996","14.2"
"Haiti","Undernourished1994_1996","62.4"
"Honduras","Undernourished1994_1996","19.2"
"India","Undernourished1994_1996","24.9"
"Indonesia","Undernourished1994_1996","16.4"
"Iran, Islamic Rep.","Undernourished1994_1996","3.5"
"Iraq","Undernourished1994_1996","19.8"
"Jamaica","Undernourished1994_1996","8.1"
"Jordan","Undernourished1994_1996","9.5"
"Kazakhstan","Undernourished1994_1996","0.8"
"Kenya","Undernourished1994_1996","32.1"
"Kuwait","Undernourished1994_1996","5.3"
"Kyrgyz Republic","Undernourished1994_1996","16.6"
"Lao PDR","Undernourished1994_1996","44"
"Latvia","Undernourished1994_1996","2"
"Lebanon","Undernourished1994_1996","4"
"Lesotho","Undernourished1994_1996","18.1"
"Liberia","Undernourished1994_1996","42.2"
"Libya","Undernourished1994_1996","1.2"
"Lithuania","Undernourished1994_1996","4"
"Macedonia, FYR","Undernourished1994_1996","12.3"
"Madagascar","Undernourished1994_1996","30.7"
"Malawi","Undernourished1994_1996","38.7"
"Malaysia","Undernourished1994_1996","2.1"
"Mali","Undernourished1994_1996","26.7"
"Mauritania","Undernourished1994_1996","11.6"
"Mauritius","Undernourished1994_1996","7.5"
"Mexico","Undernourished1994_1996","3.1"
"Moldova","Undernourished1994_1996","15.4"
"Mongolia","Undernourished1994_1996","48.5"
"Montenegro","Undernourished1994_1996",NA
"Morocco","Undernourished1994_1996","7.2"
"Mozambique","Undernourished1994_1996","52.1"
"Myanmar","Undernourished1994_1996",NA
"Namibia","Undernourished1994_1996","39"
"Nepal","Undernourished1994_1996","26.8"
"Nicaragua","Undernourished1994_1996","44.2"
"Niger","Undernourished1994_1996","40.5"
"Nigeria","Undernourished1994_1996","12.9"
"North Korea","Undernourished1994_1996","34.1"
"Oman","Undernourished1994_1996",NA
"Pakistan","Undernourished1994_1996","23.2"
"Panama","Undernourished1994_1996","22.8"
"Papua New Guinea","Undernourished1994_1996",NA
"Paraguay","Undernourished1994_1996","15.1"
"Peru","Undernourished1994_1996","25.8"
"Philippines","Undernourished1994_1996","21.7"
"Qatar","Undernourished1994_1996",NA
"Romania","Undernourished1994_1996","2.1"
"Russian Federation","Undernourished1994_1996","5"
"Rwanda","Undernourished1994_1996","57.3"
"Saudi Arabia","Undernourished1994_1996","3.4"
"Senegal","Undernourished1994_1996","24.8"
"Serbia","Undernourished1994_1996",NA
"Sierra Leone","Undernourished1994_1996","37.1"
"Slovak Republic","Undernourished1994_1996","3.5"
"Somalia","Undernourished1994_1996",NA
"South Africa","Undernourished1994_1996","5.2"
"Sri Lanka","Undernourished1994_1996","30.2"
"Sudan (former)","Undernourished1994_1996","32.1"
"Suriname","Undernourished1994_1996","16"
"Swaziland","Undernourished1994_1996","20.6"
"Syrian Arab Republic","Undernourished1994_1996","4.1"
"Tajikistan","Undernourished1994_1996","36"
"Tanzania","Undernourished1994_1996","37.4"
"Thailand","Undernourished1994_1996","33.7"
"Timor-Leste","Undernourished1994_1996",NA
"Togo","Undernourished1994_1996","28.1"
"Trinidad & Tobago","Undernourished1994_1996","15.5"
"Tunisia","Undernourished1994_1996","1"
"Turkey","Undernourished1994_1996","0.6"
"Turkmenistan","Undernourished1994_1996","10.4"
"Uganda","Undernourished1994_1996","30.9"
"Ukraine","Undernourished1994_1996","3.9"
"Uruguay","Undernourished1994_1996","5.2"
"Uzbekistan","Undernourished1994_1996","2.8"
"Venezuela, RB","Undernourished1994_1996","15.1"
"Vietnam","Undernourished1994_1996","31.5"
"Yemen, Rep.","Undernourished1994_1996","31.3"
"Zambia","Undernourished1994_1996","33.7"
"Zimbabwe","Undernourished1994_1996","46.4"
"Afghanistan","Undernourished1999_2001",NA
"Albania","Undernourished1999_2001","3.8"
"Algeria","Undernourished1999_2001","6.3"
"Angola","Undernourished1999_2001","49"
"Argentina","Undernourished1999_2001","1"
"Armenia","Undernourished1999_2001","21.5"
"Azerbaijan","Undernourished1999_2001","14.9"
"Bahrain","Undernourished1999_2001",NA
"Bangladesh","Undernourished1999_2001","18"
"Belarus","Undernourished1999_2001","2.3"
"Benin","Undernourished1999_2001","17.8"
"Bhutan","Undernourished1999_2001",NA
"Bolivia","Undernourished1999_2001","29.9"
"Bosnia & Herzegovina","Undernourished1999_2001","6.3"
"Botswana","Undernourished1999_2001","35"
"Brazil","Undernourished1999_2001","12.9"
"Bulgaria","Undernourished1999_2001","7"
"Burkina Faso","Undernourished1999_2001","26.5"
"Burundi","Undernourished1999_2001","62.1"
"Cambodia","Undernourished1999_2001","33.6"
"Cameroon","Undernourished1999_2001","31.7"
"Central African Republic","Undernourished1999_2001","46"
"Chad","Undernourished1999_2001","41.7"
"Chile","Undernourished1999_2001","4.5"
"China","Undernourished1999_2001","14.4"
"Colombia","Undernourished1999_2001","13.1"
"Comoros","Undernourished1999_2001","67.1"
"Congo, Dem. Rep.","Undernourished1999_2001",NA
"Congo, Rep.","Undernourished1999_2001","32.6"
"Costa Rica","Undernourished1999_2001","4.3"
"Croatia","Undernourished1999_2001","11.6"
"Cuba","Undernourished1999_2001","2.9"
"Côte d'Ivoire","Undernourished1999_2001","20"
"Djibouti","Undernourished1999_2001","49.4"
"Dominican Republic","Undernourished1999_2001","22.3"
"Ecuador","Undernourished1999_2001","20"
"Egypt, Arab Rep.","Undernourished1999_2001","1.5"
"El Salvador","Undernourished1999_2001","10.9"
"Eritrea","Undernourished1999_2001","76.5"
"Estonia","Undernourished1999_2001","4.3"
"Ethiopia","Undernourished1999_2001","55.7"
"Fiji","Undernourished1999_2001","4.8"
"Gabon","Undernourished1999_2001","5.9"
"Gambia, The","Undernourished1999_2001","19.4"
"Georgia","Undernourished1999_2001",NA
"Ghana","Undernourished1999_2001","17.8"
"Guatemala","Undernourished1999_2001","27.2"
"Guinea","Undernourished1999_2001","21.1"
"Guinea-Bissau","Undernourished1999_2001","22.3"
"Guyana","Undernourished1999_2001","7.9"
"Haiti","Undernourished1999_2001","51.4"
"Honduras","Undernourished1999_2001","17.2"
"India","Undernourished1999_2001","21.1"
"Indonesia","Undernourished1999_2001","19.9"
"Iran, Islamic Rep.","Undernourished1999_2001","4.3"
"Iraq","Undernourished1999_2001","20.9"
"Jamaica","Undernourished1999_2001","7.4"
"Jordan","Undernourished1999_2001","7.9"
"Kazakhstan","Undernourished1999_2001","15.3"
"Kenya","Undernourished1999_2001","32.2"
"Kuwait","Undernourished1999_2001","1.6"
"Kyrgyz Republic","Undernourished1999_2001","16.8"
"Lao PDR","Undernourished1999_2001","39.8"
"Latvia","Undernourished1999_2001","5.6"
"Lebanon","Undernourished1999_2001","3.5"
"Lesotho","Undernourished1999_2001","17.5"
"Liberia","Undernourished1999_2001","34.8"
"Libya","Undernourished1999_2001","1.6"
"Lithuania","Undernourished1999_2001","2.3"
"Macedonia, FYR","Undernourished1999_2001","6.8"
"Madagascar","Undernourished1999_2001","32.4"
"Malawi","Undernourished1999_2001","26.7"
"Malaysia","Undernourished1999_2001","2.9"
"Mali","Undernourished1999_2001","22.3"
"Mauritania","Undernourished1999_2001","9.7"
"Mauritius","Undernourished1999_2001","6.7"
"Mexico","Undernourished1999_2001","3"
"Moldova","Undernourished1999_2001","19.8"
"Mongolia","Undernourished1999_2001","37.5"
"Montenegro","Undernourished1999_2001",NA
"Morocco","Undernourished1999_2001","6.6"
"Mozambique","Undernourished1999_2001","45.1"
"Myanmar","Undernourished1999_2001",NA
"Namibia","Undernourished1999_2001","27.7"
"Nepal","Undernourished1999_2001","24.3"
"Nicaragua","Undernourished1999_2001","34.3"
"Niger","Undernourished1999_2001","27.4"
"Nigeria","Undernourished1999_2001","10.2"
"North Korea","Undernourished1999_2001","37.8"
"Oman","Undernourished1999_2001",NA
"Pakistan","Undernourished1999_2001","23.8"
"Panama","Undernourished1999_2001","27.5"
"Papua New Guinea","Undernourished1999_2001",NA
"Paraguay","Undernourished1999_2001","13"
"Peru","Undernourished1999_2001","22.5"
"Philippines","Undernourished1999_2001","21.3"
"Qatar","Undernourished1999_2001",NA
"Romania","Undernourished1999_2001","1.3"
"Russian Federation","Undernourished1999_2001","4.7"
"Rwanda","Undernourished1999_2001","53.4"
"Saudi Arabia","Undernourished1999_2001","1.3"
"Senegal","Undernourished1999_2001","24.4"
"Serbia","Undernourished1999_2001",NA
"Sierra Leone","Undernourished1999_2001","41.3"
"Slovak Republic","Undernourished1999_2001","5.3"
"Somalia","Undernourished1999_2001",NA
"South Africa","Undernourished1999_2001","4.9"
"Sri Lanka","Undernourished1999_2001","28.3"
"Sudan (former)","Undernourished1999_2001","29.5"
"Suriname","Undernourished1999_2001","18.1"
"Swaziland","Undernourished1999_2001","19.2"
"Syrian Arab Republic","Undernourished1999_2001","3.6"
"Tajikistan","Undernourished1999_2001","40.9"
"Tanzania","Undernourished1999_2001","40.5"
"Thailand","Undernourished1999_2001","20"
"Timor-Leste","Undernourished1999_2001",NA
"Togo","Undernourished1999_2001","26.4"
"Trinidad & Tobago","Undernourished1999_2001","13.3"
"Tunisia","Undernourished1999_2001","0.7"
"Turkey","Undernourished1999_2001","0.9"
"Turkmenistan","Undernourished1999_2001","9"
"Uganda","Undernourished1999_2001","26.9"
"Ukraine","Undernourished1999_2001","4.1"
"Uruguay","Undernourished1999_2001","4.2"
"Uzbekistan","Undernourished1999_2001","13.5"
"Venezuela, RB","Undernourished1999_2001","14.5"
"Vietnam","Undernourished1999_2001","19.9"
"Yemen, Rep.","Undernourished1999_2001","31.2"
"Zambia","Undernourished1999_2001","43"
"Zimbabwe","Undernourished1999_2001","44.4"
"Afghanistan","Undernourished2004_2006",NA
"Albania","Undernourished2004_2006","9.7"
"Algeria","Undernourished2004_2006","5"
"Angola","Undernourished2004_2006","37.9"
"Argentina","Undernourished2004_2006","1.9"
"Armenia","Undernourished2004_2006","6.9"
"Azerbaijan","Undernourished2004_2006","2.2"
"Bahrain","Undernourished2004_2006",NA
"Bangladesh","Undernourished2004_2006","15.3"
"Belarus","Undernourished2004_2006","2.8"
"Benin","Undernourished2004_2006","13.8"
"Bhutan","Undernourished2004_2006",NA
"Bolivia","Undernourished2004_2006","29.9"
"Bosnia & Herzegovina","Undernourished2004_2006","2.1"
"Botswana","Undernourished2004_2006","32.6"
"Brazil","Undernourished2004_2006","8.9"
"Bulgaria","Undernourished2004_2006","7.9"
"Burkina Faso","Undernourished2004_2006","25.8"
"Burundi","Undernourished2004_2006","68.5"
"Cambodia","Undernourished2004_2006","27.7"
"Cameroon","Undernourished2004_2006","21.4"
"Central African Republic","Undernourished2004_2006","43.1"
"Chad","Undernourished2004_2006","38"
"Chile","Undernourished2004_2006","3.1"
"China","Undernourished2004_2006","13.4"
"Colombia","Undernourished2004_2006","13.8"
"Comoros","Undernourished2004_2006","58.6"
"Congo, Dem. Rep.","Undernourished2004_2006",NA
"Congo, Rep.","Undernourished2004_2006","31.9"
"Costa Rica","Undernourished2004_2006","5"
"Croatia","Undernourished2004_2006","2.1"
"Cuba","Undernourished2004_2006","1.1"
"Côte d'Ivoire","Undernourished2004_2006","19.6"
"Djibouti","Undernourished2004_2006","37.2"
"Dominican Republic","Undernourished2004_2006","20.9"
"Ecuador","Undernourished2004_2006","21.8"
"Egypt, Arab Rep.","Undernourished2004_2006","2.2"
"El Salvador","Undernourished2004_2006","10.7"
"Eritrea","Undernourished2004_2006","75.6"
"Estonia","Undernourished2004_2006","4.3"
"Ethiopia","Undernourished2004_2006","46.8"
"Fiji","Undernourished2004_2006","2.9"
"Gabon","Undernourished2004_2006","6.1"
"Gambia, The","Undernourished2004_2006","20.1"
"Georgia","Undernourished2004_2006",NA
"Ghana","Undernourished2004_2006","11.2"
"Guatemala","Undernourished2004_2006","29.8"
"Guinea","Undernourished2004_2006","17.9"
"Guinea-Bissau","Undernourished2004_2006","19"
"Guyana","Undernourished2004_2006","8.7"
"Haiti","Undernourished2004_2006","55.8"
"Honduras","Undernourished2004_2006","15.2"
"India","Undernourished2004_2006","21.5"
"Indonesia","Undernourished2004_2006","17.1"
"Iran, Islamic Rep.","Undernourished2004_2006","5.7"
"Iraq","Undernourished2004_2006","23.2"
"Jamaica","Undernourished2004_2006","7"
"Jordan","Undernourished2004_2006","2.9"
"Kazakhstan","Undernourished2004_2006","1.1"
"Kenya","Undernourished2004_2006","30.5"
"Kuwait","Undernourished2004_2006","0.9"
"Kyrgyz Republic","Undernourished2004_2006","9.6"
"Lao PDR","Undernourished2004_2006","33.5"
"Latvia","Undernourished2004_2006","3.3"
"Lebanon","Undernourished2004_2006","3.3"
"Lesotho","Undernourished2004_2006","16.2"
"Liberia","Undernourished2004_2006","29.8"
"Libya","Undernourished2004_2006","1.5"
"Lithuania","Undernourished2004_2006","1.5"
"Macedonia, FYR","Undernourished2004_2006","4.5"
"Madagascar","Undernourished2004_2006","30.6"
"Malawi","Undernourished2004_2006","26.4"
"Malaysia","Undernourished2004_2006","3.5"
"Mali","Undernourished2004_2006","16.8"
"Mauritania","Undernourished2004_2006","9.8"
"Mauritius","Undernourished2004_2006","5.9"
"Mexico","Undernourished2004_2006","0.1"
"Moldova","Undernourished2004_2006","16.6"
"Mongolia","Undernourished2004_2006","32.6"
"Montenegro","Undernourished2004_2006",NA
"Morocco","Undernourished2004_2006","5.3"
"Mozambique","Undernourished2004_2006","39.9"
"Myanmar","Undernourished2004_2006",NA
"Namibia","Undernourished2004_2006","25.2"
"Nepal","Undernourished2004_2006","21.8"
"Nicaragua","Undernourished2004_2006","26.8"
"Niger","Undernourished2004_2006","22"
"Nigeria","Undernourished2004_2006","7.8"
"North Korea","Undernourished2004_2006","34"
"Oman","Undernourished2004_2006",NA
"Pakistan","Undernourished2004_2006","22.2"
"Panama","Undernourished2004_2006","21"
"Papua New Guinea","Undernourished2004_2006",NA
"Paraguay","Undernourished2004_2006","12.6"
"Peru","Undernourished2004_2006","21.9"
"Philippines","Undernourished2004_2006","19.7"
"Qatar","Undernourished2004_2006",NA
"Romania","Undernourished2004_2006","0.4"
"Russian Federation","Undernourished2004_2006","2"
"Rwanda","Undernourished2004_2006","43.5"
"Saudi Arabia","Undernourished2004_2006","2"
"Senegal","Undernourished2004_2006","18.4"
"Serbia","Undernourished2004_2006",NA
"Sierra Leone","Undernourished2004_2006","37.3"
"Slovak Republic","Undernourished2004_2006","5.4"
"Somalia","Undernourished2004_2006",NA
"South Africa","Undernourished2004_2006","3.9"
"Sri Lanka","Undernourished2004_2006","28"
"Sudan (former)","Undernourished2004_2006","30.6"
"Suriname","Undernourished2004_2006","16.8"
"Swaziland","Undernourished2004_2006","16.7"
"Syrian Arab Republic","Undernourished2004_2006","3.3"
"Tajikistan","Undernourished2004_2006","34"
"Tanzania","Undernourished2004_2006","36.7"
"Thailand","Undernourished2004_2006","11.4"
"Timor-Leste","Undernourished2004_2006","27.6"
"Togo","Undernourished2004_2006","20.5"
"Trinidad & Tobago","Undernourished2004_2006","14.1"
"Tunisia","Undernourished2004_2006","0.9"
"Turkey","Undernourished2004_2006","1"
"Turkmenistan","Undernourished2004_2006","5.9"
"Uganda","Undernourished2004_2006","27.8"
"Ukraine","Undernourished2004_2006","1.3"
"Uruguay","Undernourished2004_2006","4.6"
"Uzbekistan","Undernourished2004_2006","11.2"
"Venezuela, RB","Undernourished2004_2006","11.4"
"Vietnam","Undernourished2004_2006","14.1"
"Yemen, Rep.","Undernourished2004_2006","33.2"
"Zambia","Undernourished2004_2006","46.6"
"Zimbabwe","Undernourished2004_2006","40.2"
"Afghanistan","Undernourished2011_2013",NA
"Albania","Undernourished2011_2013","7.8"
"Algeria","Undernourished2011_2013","2.4"
"Angola","Undernourished2011_2013","24.4"
"Argentina","Undernourished2011_2013","3.4"
"Armenia","Undernourished2011_2013","2.6"
"Azerbaijan","Undernourished2011_2013","1.1"
"Bahrain","Undernourished2011_2013",NA
"Bangladesh","Undernourished2011_2013","16.3"
"Belarus","Undernourished2011_2013","0.4"
"Benin","Undernourished2011_2013","6.1"
"Bhutan","Undernourished2011_2013",NA
"Bolivia","Undernourished2011_2013","21.3"
"Bosnia & Herzegovina","Undernourished2011_2013","2.2"
"Botswana","Undernourished2011_2013","25.7"
"Brazil","Undernourished2011_2013","6.9"
"Bulgaria","Undernourished2011_2013","7.2"
"Burkina Faso","Undernourished2011_2013","25"
"Burundi","Undernourished2011_2013","67.3"
"Cambodia","Undernourished2011_2013","15.4"
"Cameroon","Undernourished2011_2013","13.3"
"Central African Republic","Undernourished2011_2013","28.2"
"Chad","Undernourished2011_2013","29.4"
"Chile","Undernourished2011_2013","3"
"China","Undernourished2011_2013","11.4"
"Colombia","Undernourished2011_2013","10.6"
"Comoros","Undernourished2011_2013","65.3"
"Congo, Dem. Rep.","Undernourished2011_2013",NA
"Congo, Rep.","Undernourished2011_2013","33"
"Costa Rica","Undernourished2011_2013","8.2"
"Croatia","Undernourished2011_2013","1.4"
"Cuba","Undernourished2011_2013","0.6"
"Côte d'Ivoire","Undernourished2011_2013","20.5"
"Djibouti","Undernourished2011_2013","20.5"
"Dominican Republic","Undernourished2011_2013","15.6"
"Ecuador","Undernourished2011_2013","16.3"
"Egypt, Arab Rep.","Undernourished2011_2013","1.3"
"El Salvador","Undernourished2011_2013","11.9"
"Eritrea","Undernourished2011_2013","61.3"
"Estonia","Undernourished2011_2013","3.3"
"Ethiopia","Undernourished2011_2013","37.1"
"Fiji","Undernourished2011_2013","2.7"
"Gabon","Undernourished2011_2013","5.6"
"Gambia, The","Undernourished2011_2013","16"
"Georgia","Undernourished2011_2013",NA
"Ghana","Undernourished2011_2013","2.9"
"Guatemala","Undernourished2011_2013","30.5"
"Guinea","Undernourished2011_2013","15.2"
"Guinea-Bissau","Undernourished2011_2013","10.1"
"Guyana","Undernourished2011_2013","5"
"Haiti","Undernourished2011_2013","49.8"
"Honduras","Undernourished2011_2013","8.7"
"India","Undernourished2011_2013","17"
"Indonesia","Undernourished2011_2013","9.1"
"Iran, Islamic Rep.","Undernourished2011_2013","4.5"
"Iraq","Undernourished2011_2013","26.2"
"Jamaica","Undernourished2011_2013","8.6"
"Jordan","Undernourished2011_2013","3.1"
"Kazakhstan","Undernourished2011_2013","0.4"
"Kenya","Undernourished2011_2013","25.8"
"Kuwait","Undernourished2011_2013","1.5"
"Kyrgyz Republic","Undernourished2011_2013","5.9"
"Lao PDR","Undernourished2011_2013","26.7"
"Latvia","Undernourished2011_2013","4.3"
"Lebanon","Undernourished2011_2013","2.9"
"Lesotho","Undernourished2011_2013","15.7"
"Liberia","Undernourished2011_2013","28.6"
"Libya","Undernourished2011_2013","1.4"
"Lithuania","Undernourished2011_2013","1.2"
"Macedonia, FYR","Undernourished2011_2013","4.4"
"Madagascar","Undernourished2011_2013","27.2"
"Malawi","Undernourished2011_2013","20"
"Malaysia","Undernourished2011_2013","3.6"
"Mali","Undernourished2011_2013","7.3"
"Mauritania","Undernourished2011_2013","7.8"
"Mauritius","Undernourished2011_2013","5.4"
"Mexico","Undernourished2011_2013","0.7"
"Moldova","Undernourished2011_2013","28.2"
"Mongolia","Undernourished2011_2013","21.2"
"Montenegro","Undernourished2011_2013","2.3"
"Morocco","Undernourished2011_2013","5"
"Mozambique","Undernourished2011_2013","36.8"
"Myanmar","Undernourished2011_2013",NA
"Namibia","Undernourished2011_2013","29.3"
"Nepal","Undernourished2011_2013","16"
"Nicaragua","Undernourished2011_2013","21.7"
"Niger","Undernourished2011_2013","13.9"
"Nigeria","Undernourished2011_2013","7.3"
"North Korea","Undernourished2011_2013","31"
"Oman","Undernourished2011_2013",NA
"Pakistan","Undernourished2011_2013","17.2"
"Panama","Undernourished2011_2013","8.7"
"Papua New Guinea","Undernourished2011_2013",NA
"Paraguay","Undernourished2011_2013","22.3"
